Entered_Date;Submission_Status;Fraud_Type;UBICACION;Transaction_Amount_USD;ano;mes;Local_Amount;Merchant_Name;Acquirer_Reference_Number;Transaction_Type;Local_Currency_Code;Directory_Server_ID;Program_Protocol;Transaction_Type_Indicator;string_field_24
2023-11-05 02:37:15.000000 UTC;Success;CNP;INTER;2,57;2023;202309;89900;RAPPI ARG S.A.S.;82.709.623.269.338.200.000.000;;32;;;;
2023-12-21 02:47:08.000000 UTC;Success;CNP;INTER;4,87;2023;202311;174900;STAR PLUS;82.709.623.333.347.300.000.000;;32;;;;
2023-04-30 07:10:43.000000 UTC;Success;CNP;INTER;12,99;2023;202302;1299;KNGPNVE.COM;75.327.553.060.713.600.000.000;;840;;;;
2024-01-31 03:05:02.000000 UTC;Success;CNP;INTER;127,81;2023;202311;12781;TENNIS EXPRESS;55.421.353.306.627.100.000.000;;840;;;;
2024-01-31 03:05:03.000000 UTC;Success;CNP;INTER;138,03;2023;202311;13803;TENNIS EXPRESS;55.421.353.307.627.200.000.000;;840;;;;
2024-01-31 03:05:00.000000 UTC;Success;CNP;INTER;20;2023;202311;2000;TENNIS EXPRESS;55.421.353.317.627.100.000.000;;840;;;;
2023-08-03 02:59:03.000000 UTC;Success;CNP;INTER;90,32;2023;202307;9032;WALMART.COM 8009666546;5.436.843.184.200.040.000.000;;840;;;;
2023-10-26 04:04:36.000000 UTC;Success;CNP;INTER;40,26;2023;202308;4026;PAPA JOHN'S 1622;5.436.843.237.600.010.000.000;;840;;;;
2023-09-16 02:40:24.000000 UTC;Success;CNP;INTER;48;2023;202308;4800;PAPA JOHN'S #0155;5.436.843.238.000.280.000.000;;840;;;;
2023-03-03 03:27:00.000000 UTC;Success;CNP;INTER;10,58;2023;202301;8500;GOOGLE PLAY STORE;5.196.043.028.100.010.000.000;;152;;;;
2023-03-03 03:27:01.000000 UTC;Success;CNP;INTER;41,31;2023;202301;33190;PEDIDOS YA;5.196.043.029.100.010.000.000;;152;;;;
2023-03-03 03:27:02.000000 UTC;Success;CNP;INTER;71,25;2023;202301;57240;PEDIDOS YA;5.196.043.029.100.010.000.000;;152;;;;
2023-03-03 03:27:01.000000 UTC;Success;CNP;INTER;25,8;2023;202301;20730;PEDIDOS YA;5.196.043.029.100.010.000.000;;152;;;;
2023-03-03 03:27:02.000000 UTC;Success;CNP;INTER;7,62;2023;202301;6150;GOOGLE PLAY STORE;5.196.043.029.100.010.000.000;;152;;;;
2023-04-27 02:58:30.000000 UTC;Success;CNP;INTER;43,72;2023;202302;4372;ACTIONGV.COM;85.249.973.044.900.000.000.000;;840;;;;
2023-05-18 08:42:56.000000 UTC;Success;CNP;INTER;3,44;2023;202304;73900;DRI*AVAST Software;15.265.673.104.002.900.000.000;;32;;;;
2023-05-18 08:42:53.000000 UTC;Success;CNP;INTER;79,46;2023;202304;1750000;FACEBK Q5ZG4P3CY2;15.265.673.115.434.700.000.000;;32;;;;
2023-05-18 08:42:52.000000 UTC;Success;CNP;INTER;78,98;2023;202304;1750000;FACEBK 6TMT6QFBY2;15.265.673.117.000.000.000.000;;32;;;;
2023-06-11 05:35:09.000000 UTC;Success;CNP;INTER;43,99;2023;202305;4399;DRI*AVAST Software;15.265.673.149.005.900.000.000;;840;;;;
2023-08-24 03:17:10.000000 UTC;Success;CNP;INTER;99,99;2023;202306;9999;DRI*AVAST Software;15.265.673.167.003.600.000.000;;840;;;;
2023-08-03 02:59:02.000000 UTC;Success;CNP;INTER;25,18;2023;202306;627900;Stark Labs Inc-TikView;15.265.673.170.308.200.000.000;;32;;;;
2023-08-03 02:59:02.000000 UTC;Success;CNP;INTER;31,75;2023;202306;791700;Stark Labs Inc-Program;15.265.673.170.308.200.000.000;;32;;;;
2023-08-24 03:17:10.000000 UTC;Success;CNP;INTER;8,92;2023;202307;239900;DRI*AVG Technologies;15.265.673.202.002.900.000.000;;32;;;;
2024-03-29 02:36:29.000000 UTC;Success;CNP;INTER;5,63;2023;202312;563;FACEBK QZR32XT4C2;15.265.673.359.000.200.000.000;;840;;;;
2023-11-29 02:37:37.000000 UTC;Success;CNP;INTER;25,9;2023;202310;2590;LUCY IN THE SKY;55.429.503.283.717.300.000.000;;840;;;;
2023-11-29 02:37:38.000000 UTC;Success;CNP;INTER;25,9;2023;202310;2590;LUCY IN THE SKY;55.429.503.291.713.600.000.000;;840;;;;
2023-11-29 02:37:38.000000 UTC;Success;CNP;INTER;25,9;2023;202310;2590;LUCY IN THE SKY;55.429.503.299.716.000.000.000;;840;;;;
2024-01-31 03:05:02.000000 UTC;Success;CNP;INTER;25,9;2023;202311;2590;LUCY IN THE SKY;55.429.503.305.717.000.000.000;;840;;;;
2024-01-31 03:05:03.000000 UTC;Success;CNP;INTER;64,62;2023;202311;6462;UBER   EATS;55.429.503.316.719.800.000.000;;840;;;;
2024-01-31 03:05:01.000000 UTC;Success;CNP;INTER;25,9;2023;202311;2590;LUCY IN THE SKY;55.429.503.320.715.600.000.000;;840;;;;
2023-12-21 02:47:08.000000 UTC;Success;CNP;INTER;220,93;2023;202311;22093;METAPAY -HIEN NG;55.429.503.332.894.700.000.000;;840;;;;
2023-02-08 02:55:41.000000 UTC;Success;CNP;LOCAL;0,84;2023;202301;15000;AUBASA;25.544.203.006.020.000.000.000;;32;;;;
2023-03-09 02:57:19.000000 UTC;Success;CNP;LOCAL;9,73;2023;202302;181900;Cntseg;25.544.203.033.020.000.000.000;;32;;;;
2023-05-18 08:42:58.000000 UTC;Success;CNP;LOCAL;14,57;2023;202302;272866;AXA ASSISTANCE;25.544.203.034.020.000.000.000;;32;;;;
2023-05-18 08:42:58.000000 UTC;Success;CNP;LOCAL;24,53;2023;202302;478294;AXA ASSISTANCE;25.544.203.054.020.000.000.000;;32;;;;
2023-03-16 02:57:45.000000 UTC;Success;CNP;LOCAL;327,6;2023;202302;6399900;TIENDA MOVISTAR WEBDCP;25.544.203.055.020.000.000.000;;32;;;;
2023-04-27 02:58:32.000000 UTC;Success;CNP;LOCAL;48,82;2023;202302;962600;CAJA DE SEGUROS VIP;25.544.203.060.020.000.000.000;;32;;;;
2023-04-27 02:58:32.000000 UTC;Success;CNP;LOCAL;5,57;2023;202303;110100;TELEPEAJE PLUS;25.544.203.061.020.000.000.000;;32;;;;
2023-05-18 08:42:58.000000 UTC;Success;CNP;LOCAL;23,29;2023;202303;478294;AXA ASSISTANCE;25.544.203.082.020.000.000.000;;32;;;;
2023-07-26 03:35:55.000000 UTC;Success;CNP;LOCAL;5,52;2023;202303;113524;MERCADOPAGO*VALERIOISM;25.544.203.152.010.000.000.000;;32;;;;
2023-04-22 02:53:16.000000 UTC;Success;CNP;LOCAL;5,52;2023;202303;113525;MERCADOPAGO*VALERIOISM;25.544.203.086.020.000.000.000;;32;;;;
2023-07-26 03:35:54.000000 UTC;Success;CNP;LOCAL;5,52;2023;202303;113524;MERCADOPAGO*VALERIOISM;25.544.203.123.010.000.000.000;;32;;;;
2023-04-27 02:58:32.000000 UTC;Success;CNP;LOCAL;59,44;2023;202303;1235400;CAJA DE SEGUROS VIP;25.544.203.088.020.000.000.000;;32;;;;
2023-04-30 07:10:46.000000 UTC;Success;CNP;LOCAL;46,03;2023;202303;962000;WWW.PASESHOW.COM.AR;25.544.203.091.020.000.000.000;;32;;;;
2023-05-18 08:42:52.000000 UTC;Success;CNP;LOCAL;144,23;2023;202304;3033585;SECHEEP;25.544.203.094.020.000.000.000;;32;;;;
2023-05-24 02:36:52.000000 UTC;Success;CNP;LOCAL;325,26;2023;202304;6954229;MERCADOPAGO*MERCADOLIB;25.544.203.103.020.000.000.000;;32;;;;
2023-06-11 05:35:10.000000 UTC;Success;CNP;LOCAL;4,65;2023;202304;100000;CLARO PT;25.544.203.107.020.000.000.000;;32;;;;
2023-06-11 05:35:10.000000 UTC;Success;CNP;LOCAL;2,32;2023;202304;50000;MOV REC SALDO T/P-DCP;25.544.203.107.020.000.000.000;;32;;;;
2023-06-11 05:35:10.000000 UTC;Success;CNP;LOCAL;2,32;2023;202304;50000;MOV REC SALDO T/P-DCP;25.544.203.107.020.000.000.000;;32;;;;
2023-06-11 05:35:10.000000 UTC;Success;CNP;LOCAL;9,3;2023;202304;200000;CLARO PT;25.544.203.107.020.000.000.000;;32;;;;
2023-05-18 08:42:52.000000 UTC;Success;CNP;LOCAL;22,05;2023;202304;478294;AXA ASSISTANCE;25.544.203.109.020.000.000.000;;32;;;;
2023-05-18 08:42:56.000000 UTC;Success;CNP;LOCAL;47,99;2023;202304;1043826;HELPHBOMAXCOM;25.544.203.110.020.000.000.000;;32;;;;
2023-05-18 08:42:56.000000 UTC;Success;CNP;LOCAL;7,88;2023;202304;175000;TEL MOVIL TELECOM;25.544.203.122.020.000.000.000;;32;;;;
2023-06-29 02:50:06.000000 UTC;Success;CNP;LOCAL;11,19;2023;202305;251300;MERCADO NET;25.544.203.123.020.000.000.000;;32;;;;
2023-06-29 02:50:06.000000 UTC;Success;CNP;LOCAL;20,21;2023;202305;449985;MERCADOPAGO*SPLITTERMP;25.544.203.123.020.000.000.000;;32;;;;
2023-07-12 02:59:13.000000 UTC;Success;CNP;LOCAL;77,31;2023;202305;1766654;FIA;25.544.203.132.020.000.000.000;;32;;;;
2023-06-29 02:50:06.000000 UTC;Success;CNP;LOCAL;63,63;2023;202305;1500000;INVERSOR GLOBAL;25.544.203.149.020.000.000.000;;32;;;;
2023-06-29 02:50:06.000000 UTC;Success;CNP;LOCAL;9,59;2023;202305;229000;MERCADO NET;25.544.203.152.020.000.000.000;;32;;;;
2023-06-29 02:50:05.000000 UTC;Success;CNP;LOCAL;134,64;2023;202306;3266082;AGIP PATENTES WEB;25.544.203.158.020.000.000.000;;32;;;;
2023-06-29 02:50:04.000000 UTC;Success;CNP;LOCAL;132,2;2023;202306;3206906;AGIP PATENTES WEB;25.544.203.158.020.000.000.000;;32;;;;
2023-06-29 02:50:05.000000 UTC;Success;CNP;LOCAL;119,56;2023;202306;2900294;AGIP PATENTES WEB;25.544.203.158.020.000.000.000;;32;;;;
2023-06-29 02:50:04.000000 UTC;Success;CNP;LOCAL;95,12;2023;202306;2307488;AGIP PATENTES WEB;25.544.203.158.020.000.000.000;;32;;;;
2023-07-12 02:59:13.000000 UTC;Success;CNP;LOCAL;18,51;2023;202306;466634;www.start.com.ar;25.544.203.174.020.000.000.000;;32;;;;
2023-07-27 03:34:48.000000 UTC;Success;CNP;LOCAL;59,4;2023;202306;1500000;INVERSOR GLOBAL;25.544.203.175.020.000.000.000;;32;;;;
2023-08-03 02:59:04.000000 UTC;Success;CNP;LOCAL;3,04;2023;202307;78000;WWW.TICKETEK.COM.AR;25.544.203.184.020.000.000.000;;32;;;;
2023-08-12 02:46:19.000000 UTC;Success;CNP;LOCAL;50,98;2023;202307;1320449;MERCPAGO*SHELLBOX;25.544.203.187.020.000.000.000;;32;;;;
2023-08-12 02:46:19.000000 UTC;Success;CNP;LOCAL;50,98;2023;202307;1320449;MERCPAGO*SHELLBOX;25.544.203.187.020.000.000.000;;32;;;;
2023-08-03 02:59:03.000000 UTC;Success;CNP;LOCAL;27,18;2023;202307;709354;AGIP PATENTES WEB;25.544.203.192.020.000.000.000;;32;;;;
2023-11-29 02:37:36.000000 UTC;Success;CNP;LOCAL;7,76;2023;202310;271500;AUBASA;25.544.203.285.020.000.000.000;;32;;;;
2023-12-21 02:47:10.000000 UTC;Success;CNP;LOCAL;126,47;2023;202310;4426931;PYU*NINTENDOeSHOPAR IV;25.544.203.292.020.000.000.000;;32;;;;
2023-12-13 02:47:47.000000 UTC;Success;CNP;LOCAL;5,71;2023;202310;200000;CLARO PT;25.544.203.305.020.000.000.000;;32;;;;
2023-11-29 02:37:37.000000 UTC;Success;CNP;LOCAL;10,16;2023;202311;355764;AUBASA;25.544.203.308.020.000.000.000;;32;;;;
2023-12-21 02:47:09.000000 UTC;Success;CNP;LOCAL;5,61;2023;202311;200000;MOV REC SALDO T/P-DCP;25.544.203.328.020.000.000.000;;32;;;;
2023-12-21 02:47:09.000000 UTC;Success;CNP;LOCAL;79,13;2023;202311;2825000;BURGER KING ESCOBAR;25.544.203.328.020.000.000.000;;32;;;;
2023-12-21 02:47:09.000000 UTC;Success;CNP;LOCAL;182,62;2023;202311;6520000;DLO*el-marciano;25.544.203.328.020.000.000.000;;32;;;;
2023-10-26 04:04:38.000000 UTC;Success;CNP;INTER;29,95;2023;202308;2995;AR ONLINECV.ES;5.130.863.233.910.040.000.000;;840;;;;
2023-10-26 04:04:38.000000 UTC;Success;CNP;INTER;29,95;2023;202309;2995;AR ONLINECV.ES;5.130.863.256.910.040.000.000;;840;;;;
2024-01-14 02:41:01.000000 UTC;Success;CNP;INTER;62,27;2023;202311;30651;ABCONSHOP;5.265.953.318.143.760.000.000;;986;;;;
2023-03-09 02:57:19.000000 UTC;Success;CNP;INTER;32,13;2023;202301;582360;GASTON  ALEJANDRO;52.308.453.016.668.100.000.000;;32;;;;
2023-03-09 02:57:17.000000 UTC;Success;CNP;INTER;16,79;2023;202302;315000;CAJA DE SEGURIDAD;52.308.453.034.901.900.000.000;;32;;;;
2023-03-09 02:57:18.000000 UTC;Success;CNP;INTER;32,75;2023;202302;630000;CAJA DE SEGURIDAD;52.308.453.048.882.100.000.000;;32;;;;
2023-03-09 02:57:16.000000 UTC;Success;CNP;INTER;16,34;2023;202302;315000;CAJA DE SEGURIDAD;52.308.453.048.877.100.000.000;;32;;;;
2023-03-16 02:57:44.000000 UTC;Success;CNP;INTER;4,45;2023;202302;86826;HELPHBOMAXCOM;52.308.453.054.682.500.000.000;;32;;;;
2023-03-16 02:57:44.000000 UTC;Success;CNP;INTER;36,13;2023;202302;704352;CODASHOP;52.308.453.054.428.700.000.000;;32;;;;
2023-03-16 02:57:44.000000 UTC;Success;CNP;INTER;36,13;2023;202302;704352;CODASHOP;52.308.453.054.428.600.000.000;;32;;;;
2023-03-16 02:57:39.000000 UTC;Success;CNP;INTER;14,44;2023;202302;281532;CODASHOP;52.308.453.055.275.800.000.000;;32;;;;
2023-04-05 02:45:16.000000 UTC;Success;CNP;INTER;334,37;2023;202303;6799600;HTTP://WWW.AFASHOP.COM;52.308.453.079.397.800.000.000;;32;;;;
2023-04-05 02:45:16.000000 UTC;Success;CNP;INTER;403,22;2023;202303;8199700;HTTP://WWW.AFASHOP.COM;52.308.453.079.397.800.000.000;;32;;;;
2023-04-05 02:45:16.000000 UTC;Success;CNP;INTER;326,19;2023;202303;6699700;HTTP://WWW.AFASHOP.COM;52.308.453.086.839.100.000.000;;32;;;;
2023-05-31 02:31:13.000000 UTC;Success;CNP;INTER;2,33;2023;202304;49900;RAPPI PRIME;52.308.453.107.654.600.000.000;;32;;;;
2023-05-31 02:31:14.000000 UTC;Success;CNP;INTER;139,73;2023;202304;2999900;HONG KONG YIHENG N;52.308.453.104.657.600.000.000;;32;;;;
2023-06-11 05:35:10.000000 UTC;Success;CNP;INTER;31,98;2023;202304;688000;COOPERATIVA DE ELECTRI;52.308.453.107.189.200.000.000;;32;;;;
2023-04-30 07:10:46.000000 UTC;Success;CNP;INTER;15,06;2023;202304;325900;MOVISTAR PAGO DE FACTU;52.308.453.108.996.000.000.000;;32;;;;
2023-04-30 07:10:47.000000 UTC;Success;CNP;INTER;4,05;2023;202304;87701;ECOGAS_CENTRO;52.308.453.108.173.200.000.000;;32;;;;
2023-06-29 02:50:07.000000 UTC;Success;CNP;INTER;9,79;2023;202304;212950;PEDIDOSYA;52.308.453.114.647.300.000.000;;32;;;;
2023-06-29 02:50:07.000000 UTC;Success;CNP;INTER;9,04;2023;202304;200700;PEDIDOSYA;52.308.453.118.041.900.000.000;;32;;;;
2023-06-29 02:50:07.000000 UTC;Success;CNP;INTER;7,9;2023;202304;175450;PEDIDOSYA;52.308.453.122.602.600.000.000;;32;;;;
2023-05-18 08:42:56.000000 UTC;Success;CNP;INTER;23,11;2023;202304;513000;CUOTA SOCIAL - CARP;52.308.453.122.975.600.000.000;;32;;;;
2023-05-18 08:42:56.000000 UTC;Success;CNP;INTER;28,84;2023;202305;642238;CABIFY AR;52.308.453.122.500.600.000.000;;32;;;;
2023-05-18 08:42:57.000000 UTC;Success;CNP;INTER;26,06;2023;202305;580329;CABIFY AR;52.308.453.122.500.600.000.000;;32;;;;
2023-05-18 08:42:57.000000 UTC;Success;CNP;INTER;7,12;2023;202305;158495;CABIFY AR;52.308.453.123.718.200.000.000;;32;;;;
2023-05-18 08:42:56.000000 UTC;Success;CNP;INTER;4,78;2023;202305;107368;CABIFY AR;52.308.453.123.729.000.000.000;;32;;;;
2023-06-29 02:50:07.000000 UTC;Success;CNP;INTER;13,57;2023;202305;304950;PEDIDOSYA;52.308.453.123.194.100.000.000;;32;;;;
2023-05-18 08:42:56.000000 UTC;Success;CNP;INTER;3,71;2023;202305;83300;CABIFY AR;52.308.453.124.200.500.000.000;;32;;;;
2023-05-18 08:42:56.000000 UTC;Success;CNP;INTER;14,16;2023;202305;318763;CABIFY AR;52.308.453.124.221.300.000.000;;32;;;;
2023-05-18 08:42:57.000000 UTC;Success;CNP;INTER;11,08;2023;202305;249490;CABIFY AR;52.308.453.124.228.200.000.000;;32;;;;
2023-05-18 08:42:57.000000 UTC;Success;CNP;INTER;22,48;2023;202305;508658;CABIFY AR;52.308.453.128.862.200.000.000;;32;;;;
2023-05-18 08:42:57.000000 UTC;Success;CNP;INTER;4,49;2023;202305;101662;CABIFY AR;52.308.453.128.837.900.000.000;;32;;;;
